campaign,backend,job_id,status,retrieval_error,creation_date,created,running,done,usage,metrics,session_id,tags
A-F one-qubit protocol family,ibm_kingston,d8gq7nhe8nrc73bg8i00,NOT_RETRIEVED,RuntimeJobNotFound('Job not found: d8gq7nhe8nrc73bg8i00'),,,,,,,,
A-F one-qubit protocol family,ibm_fez,d8go594zupec739k32gg,NOT_RETRIEVED,RuntimeJobNotFound('Job not found: d8go594zupec739k32gg'),,,,,,,,
Bloch-sphere path test,ibm_kingston,d8gpgtv8cos73f3i28g,NOT_RETRIEVED,RuntimeJobNotFound('Job not found: d8gpgtv8cos73f3i28g'),,,,,,,,
History-loop test,ibm_kingston,d8g7nhe8nrc73bgc960,NOT_RETRIEVED,RuntimeJobNotFound('Job not found: d8g7nhe8nrc73bgc960'),,,,,,,,
Two-qubit entangling history test,ibm_kingston,d8gqcc2upec739k73i0,NOT_RETRIEVED,RuntimeJobNotFound('Job not found: d8gqcc2upec739k73i0'),,,,,,,,
127-qubit-wide benchmark,ibm_kingston,d8hci5v8cos73f48ma0,NOT_RETRIEVED,RuntimeJobNotFound('Job not found: d8hci5v8cos73f48ma0'),,,,,,,,
127-qubit-wide benchmark,ibm_fez,d8hcii9e8nrc73bh1m1g,DONE,,2026-06-05 13:04:09.523741+00:00,,False,True,9,"{""caller"": ""qiskit_ibm_runtime~sampler.py"", ""qiskit_version"": ""qiskit_ibm_runtime-0.47.0,qiskit-2.4.1*"", ""timestamps"": {""created"": ""2026-06-05T13:04:09.523741Z"", ""finished"": ""2026-06-05T13:04:38.188611Z"", ""running"": ""2026-06-05T13:04:11.11582Z""}, ""bss"": {""seconds"": 9}, ""usage"": {""quantum_seconds"": 9, ""seconds"": 9, ""status"": ""complete""}}",None,
127-qubit-wide benchmark,ibm_marrakesh,d8hciq5v8cos73f48mq0,DONE,,2026-06-05 13:04:40.531883+00:00,,False,True,10,"{""caller"": ""qiskit_ibm_runtime~sampler.py"", ""qiskit_version"": ""qiskit_ibm_runtime-0.47.0,qiskit-2.4.1*"", ""timestamps"": {""created"": ""2026-06-05T13:04:40.531883Z"", ""finished"": ""2026-06-05T13:05:09.513451Z"", ""running"": ""2026-06-05T13:04:41.392185Z""}, ""bss"": {""seconds"": 10}, ""usage"": {""quantum_seconds"": 10, ""seconds"": 10, ""status"": ""complete""}}",None,
156-qubit falsification benchmark,ibm_kingston,d8hciq5v8cos73f48mq0,DONE,,2026-06-05 13:04:40.531883+00:00,,False,True,10,"{""caller"": ""qiskit_ibm_runtime~sampler.py"", ""qiskit_version"": ""qiskit_ibm_runtime-0.47.0,qiskit-2.4.1*"", ""timestamps"": {""created"": ""2026-06-05T13:04:40.531883Z"", ""finished"": ""2026-06-05T13:05:09.513451Z"", ""running"": ""2026-06-05T13:04:41.392185Z""}, ""bss"": {""seconds"": 10}, ""usage"": {""quantum_seconds"": 10, ""seconds"": 10, ""status"": ""complete""}}",None,
156-qubit falsification benchmark,ibm_fez,d8hcii9e8nrc73bh1m1g,DONE,,2026-06-05 13:04:09.523741+00:00,,False,True,9,"{""caller"": ""qiskit_ibm_runtime~sampler.py"", ""qiskit_version"": ""qiskit_ibm_runtime-0.47.0,qiskit-2.4.1*"", ""timestamps"": {""created"": ""2026-06-05T13:04:09.523741Z"", ""finished"": ""2026-06-05T13:04:38.188611Z"", ""running"": ""2026-06-05T13:04:11.11582Z""}, ""bss"": {""seconds"": 9}, ""usage"": {""quantum_seconds"": 9, ""seconds"": 9, ""status"": ""complete""}}",None,
